Power supply cut since last month,neg
No water supply from Monday,neg
Improved parking facilities in the area,pos
Swings for children are required in the park,neg
Enhanced security in the area,pos
Loud noise from dogs barking on the streets,neg
Late night parties and loud music in the society,neg
Improved maintenance and Cleaning facilities,pos
Festive celebrations in the society,pos
No parking facilities in the area,neg
Poor parking facilities in the area,neg
Conjusted parking facilities in the area,neg
Blocked drainage from last month,neg
Not enough swings for children in the park,neg
ow maintenance in the area,neg
Weak staff responsibilities,neg
Irregular irrigation to the plants in the area,neg
Security is not working as expected,neg
Staffs are majorly on off,neg
Facilties need to be improved,neg
Increasing disputes between people in the mainarea,neg
outside Vehicles parked in the mainarea blocking space,neg
Pleasant environment,pos
Friendly zone,pos
Welcoming clubs to go and relax,pos
clear communication and no chaos for celebrations in society,pos
Regular irrigation to the plants in the area,pos
No loud music after 10-12p.m. in the area,pos
Good Security facilitation,pos
Staffs coming on regular basis,pos
No disputes between people and everyone is like a family,pos
Seperate lane for outside vehicles parking,pos
Seperate lane for society vehicle parking,'pos
Water supply working fine,pos
No power supply cut in the area,pos
Proper regulation of services,pos
Services and responsibilties equally divided and checked between staff,pos
Improper division of responsibilities between staff members,neg
Proper and enhanced sitting facilities for outsiders,pos
Improper and No sitting facilties for outsiders,neg
Unpleasant environment,neg
Unfriendly zone,neg
No clubs to relax,neg
Proper and Good club maintanence on regular basis,pos
Improper or no regular check on maintenance of club,neg
Insufficient playing spots in the club,neg
Proper cleaning of swimming pool of area,pos
No cleaning check of swimming pool of area,neg
Roads are stinking and not well-maintained,neg
Good space for roaming around,pos
Less space for roaming around,neg
Fights between people in mainarea,neg
Fights between children in mainarea,neg
No fights between people in mainarea,pos
No fights between children in mainarea,pos
Resolved issue of people fighting in mainarea,pos
Resolved issue of children fighting in mainarea,pos
Good understanding between people,pos
Proper and regular power supply in the area,pos
Proper and regular water supply in the area,pos
No power supply cut in the area,pos
No water supply problem in the society,pos
Need seperate staff and people for various services,neg
Need proper management,neg
Need good or enhanced facilitation,neg
No cleaning from last two weeks,neg
Sweepers are talking rudely,neg
Children play are is not well constructed,neg
Quality stores are there  nearby colony,pos
Rash driving by bikers inside colony,neg
No park for children,neg
Swimming pool is not cleaned,neg
Yoga session are organised in the park daily,pos
Gym is not well maintained,neg
Security guard was found sleeping on duty,neg
People are well cultured,pos
No milk booth nearby ,neg

